survey,last3letters,var_names,n_waves,which_waves,n_different_var_label,var_label_across_waves,n_different_value_labels,value_labels_across_waves,n_different_var_type,var_type_across_waves
Health,032,ch07a032; ch08b032; ch09c032; ch10d032; ch11e032; ch12f032; ch13g032; ch15h032; ch16i032; ch17j032; ch18k032; ch19l032; ch20m032,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,picking up a small coin lying on the table -- AND --  picking up a small coin lying on the table,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,033,ch07a033; ch08b033; ch09c033; ch10d033; ch11e033; ch12f033; ch13g033; ch15h033; ch16i033; ch17j033; ch18k033; ch19l033; ch20m033,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,"dressing and undressing, including shoes and socks -- AND --  dressing and undressing, including shoes and socks",5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,034,ch07a034; ch08b034; ch09c034; ch10d034; ch11e034; ch12f034; ch13g034; ch15h034; ch16i034; ch17j034; ch18k034; ch19l034; ch20m034,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,walking across the room -- AND --  walking across the room,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,035,ch07a035; ch08b035; ch09c035; ch10d035; ch11e035; ch12f035; ch13g035; ch15h035; ch16i035; ch17j035; ch18k035; ch19l035; ch20m035,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,bathing or showering -- AND --  bathing or showering,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,036,ch07a036; ch08b036; ch09c036; ch10d036; ch11e036; ch12f036; ch13g036; ch15h036; ch16i036; ch17j036; ch18k036; ch19l036; ch20m036,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,"eating, such as cutting your food into small bits -- AND --  eating, such as cutting your food into small bits",5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,037,ch07a037; ch08b037; ch09c037; ch10d037; ch11e037; ch12f037; ch13g037; ch15h037; ch16i037; ch17j037; ch18k037; ch19l037; ch20m037,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,getting in and out of bed -- AND --  getting in and out of bed,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,038,ch07a038; ch08b038; ch09c038; ch10d038; ch11e038; ch12f038; ch13g038; ch15h038; ch16i038; ch17j038; ch18k038; ch19l038; ch20m038,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,"using the toilet, including sitting down and standing up -- AND --  using the toilet, including sitting down and standing up",5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,039,ch07a039; ch08b039; ch09c039; ch10d039; ch11e039; ch12f039; ch13g039; ch15h039; ch16i039; ch17j039; ch18k039; ch19l039; ch20m039,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,reading a map to find your way in an unfamiliar area -- AND --  reading a map to find your way in an unfamiliar area,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,040,ch07a040; ch08b040; ch09c040; ch10d040; ch11e040; ch12f040; ch13g040; ch15h040; ch16i040; ch17j040; ch18k040; ch19l040; ch20m040,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,preparing a hot meal -- AND --  preparing a hot meal,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,041,ch07a041; ch08b041; ch09c041; ch10d041; ch11e041; ch12f041; ch13g041; ch15h041; ch16i041; ch17j041; ch18k041; ch19l041; ch20m041,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,shopping -- AND --  shopping,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,042,ch07a042; ch08b042; ch09c042; ch10d042; ch11e042; ch12f042; ch13g042; ch15h042; ch16i042; ch17j042; ch18k042; ch19l042; ch20m042,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,telephoning -- AND --  telephoning,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,043,ch07a043; ch08b043; ch09c043; ch10d043; ch11e043; ch12f043; ch13g043; ch15h043; ch16i043; ch17j043; ch18k043; ch19l043; ch20m043,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,taking medicines -- AND --  taking medicines,4,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,044,ch07a044; ch08b044; ch09c044; ch10d044; ch11e044; ch12f044; ch13g044; ch15h044; ch16i044; ch17j044; ch18k044; ch19l044; ch20m044,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,performing housekeeping work or maintaining the garden -- AND --  performing housekeeping work or maintaining the garden,5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,045,ch07a045; ch08b045; ch09c045; ch10d045; ch11e045; ch12f045; ch13g045; ch15h045; ch16i045; ch17j045; ch18k045; ch19l045; ch20m045,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",2,"taking care of financial affairs, such as paying bills and keeping track of expenditure -- AND --  taking care of financial affairs, such as paying bills and keeping track of expenditure",5,"c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, not = 5) -- AND -- c(` without any trouble` = 1, ` with some trouble` = 2, ` with a lot of trouble` = 3, ` only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with the help of others` = 4, ` not` = 5) -- AND -- c(`without any trouble` = 1, `with some trouble` = 2, `with a lot of trouble` = 3, `only with an aid or the help of others` = 4, ` not` = 5)",1,categorical
Health,046,ch07a046; ch08b046; ch09c046; ch10d046; ch11e046; ch12f046; ch13g046,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,hoisting or lifting -- AND --  hoisting or lifting,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,047,ch07a047; ch08b047; ch09c047; ch10d047; ch11e047; ch12f047; ch13g047,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,pushing or pulling -- AND --  pushing or pulling,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,048,ch07a048; ch08b048; ch09c048; ch10d048; ch11e048; ch12f048; ch13g048,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,carrying -- AND --  carrying,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,049,ch07a049; ch08b049; ch09c049; ch10d049; ch11e049; ch12f049; ch13g049,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working while standing upright -- AND --  working while standing upright,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,050,ch07a050; ch08b050; ch09c050; ch10d050; ch11e050; ch12f050; ch13g050,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,bending over -- AND --  bending over,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,051,ch07a051; ch08b051; ch09c051; ch10d051; ch11e051; ch12f051; ch13g051,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,"kneeling, crouching or crawling on all fours -- AND --  kneeling, crouching or crawling on all fours",2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,052,ch07a052; ch08b052; ch09c052; ch10d052; ch11e052; ch12f052; ch13g052,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working under drafty circumstances -- AND --  working under drafty circumstances,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,053,ch07a053; ch08b053; ch09c053; ch10d053; ch11e053; ch12f053; ch13g053,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working under humid/wet circumstances -- AND --  working under humid/wet circumstances,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,054,ch07a054; ch08b054; ch09c054; ch10d054; ch11e054; ch12f054; ch13g054,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working in stuffy/dusty spaces -- AND --  working in stuffy/dusty spaces,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,055,ch07a055; ch08b055; ch09c055; ch10d055; ch11e055; ch12f055; ch13g055,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,exposure to gasses or fumes -- AND --  exposure to gasses or fumes,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,056,ch07a056; ch08b056; ch09c056; ch10d056; ch11e056; ch12f056; ch13g056,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working while it is cold -- AND --  working while it is cold,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,057,ch07a057; ch08b057; ch09c057; ch10d057; ch11e057; ch12f057; ch13g057,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working while it is hot -- AND --  working while it is hot,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,058,ch07a058; ch08b058; ch09c058; ch10d058; ch11e058; ch12f058; ch13g058,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working with strong temperature changes -- AND --  working with strong temperature changes,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,059,ch08b059; ch09c059; ch10d059; ch11e059; ch12f059; ch13g059,6,"2008, 2009, 2010, 2011, 2012, 2013",4,working with noise -- AND --  working with noise -- AND -- working in a noisy environment -- AND --  denkt u klachten te krijgen bij het verrichten van: werken bij lawaai,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,060,ch07a060; ch08b060; ch09c060; ch10d060; ch11e060; ch12f060; ch13g060,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,walking -- AND --  walking,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,061,ch07a061; ch08b061; ch09c061; ch10d061; ch11e061; ch12f061; ch13g061,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,sitting -- AND --  sitting,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,062,ch07a062; ch08b062; ch09c062; ch10d062; ch11e062; ch12f062; ch13g062,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working with hands and fingers -- AND --  working with hands and fingers,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,063,ch07a063; ch08b063; ch09c063; ch10d063; ch11e063; ch12f063; ch13g063,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working beyond your capabilities -- AND --  working beyond your capabilities,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,064,ch07a064; ch08b064; ch09c064; ch10d064; ch11e064; ch12f064; ch13g064,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working in the open air -- AND --  working in the open air,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,065,ch07a065; ch08b065; ch09c065; ch10d065; ch11e065; ch12f065; ch13g065,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,participating in meetings or talks -- AND --  participating in meetings or talks,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,066,ch07a066; ch08b066; ch09c066; ch10d066; ch11e066; ch12f066; ch13g066,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,reading -- AND --  reading,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,067,ch07a067; ch08b067; ch09c067; ch10d067; ch11e067; ch12f067; ch13g067,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,writing -- AND --  writing,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,068,ch07a068; ch08b068; ch09c068; ch10d068; ch11e068; ch12f068; ch13g068,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,arithmetic -- AND --  arithmetic,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,069,ch07a069; ch08b069; ch09c069; ch10d069; ch11e069; ch12f069; ch13g069,7,"2007, 2008, 2009, 2010, 2011, 2012, 2013",2,working under time pressure -- AND --  working under time pressure,2,"c(`no complaints` = 1, complaints = 2) -- AND -- c(` no complaints` = 1, ` complaints` = 2)",1,categorical
Health,070,ch07a070; ch08b070; ch09c070; ch10d070; ch11e070; ch12f070; ch13g070; ch15h070; ch16i070; ch17j070; ch18k070; ch19l070; ch20m070,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,"back-, knee-, hip-pain or pain in any other joint -- AND --  back-, knee-, hip-pain or pain in any other joint -- AND -- Do you regularly suffer from: back-, knee-, hip-pain or pain in any other joint",2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,071,ch07a071; ch08b071; ch09c071; ch10d071; ch11e071; ch12f071; ch13g071; ch15h071; ch16i071; ch17j071; ch18k071; ch19l071; ch20m071,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,"heart complaints or angina, pain in the chest due to exertion -- AND --  heart complaints or angina, pain in the chest due to exertion -- AND -- Do you regularly suffer from: heart complaints or angina, pain in the chest due to exertion",2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,072,ch07a072; ch08b072; ch09c072; ch10d072; ch11e072; ch12f072; ch13g072; ch15h072; ch16i072; ch17j072; ch18k072; ch19l072; ch20m072,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,"short of breath, problems with breathing -- AND --  short of breath, problems with breathing -- AND -- Do you regularly suffer from: short of breath, problems with breathing",2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,073,ch07a073; ch08b073; ch09c073; ch10d073; ch11e073; ch12f073; ch13g073; ch15h073; ch16i073; ch17j073; ch18k073; ch19l073; ch20m073,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,"coughing, a stuffy nose and/or flu-related complaints -- AND --  coughing, a stuffy nose and/or flu-related complaints -- AND -- Do you regularly suffer from: coughing, a stuffy nose and/or flu-related complaints",2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,074,ch07a074; ch08b074; ch09c074; ch10d074; ch11e074; ch12f074; ch13g074; ch15h074; ch16i074; ch17j074; ch18k074; ch19l074; ch20m074,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,stomach or intestinal problems -- AND --  stomach or intestinal problems -- AND -- Do you regularly suffer from: stomach or intestinal problems,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,075,ch07a075; ch08b075; ch09c075; ch10d075; ch11e075; ch12f075; ch13g075; ch15h075; ch16i075; ch17j075; ch18k075; ch19l075; ch20m075,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,headache -- AND --  headache -- AND -- Do you regularly suffer from: headache,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,076,ch07a076; ch08b076; ch09c076; ch10d076; ch11e076; ch12f076; ch13g076; ch15h076; ch16i076; ch17j076; ch18k076; ch19l076; ch20m076,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,fatigue -- AND --  fatigue -- AND -- Do you regularly suffer from: fatigue,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,077,ch07a077; ch08b077; ch09c077; ch10d077; ch11e077; ch12f077; ch13g077; ch15h077; ch16i077; ch17j077; ch18k077; ch19l077; ch20m077,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,sleeping problems -- AND --  sleeping problems -- AND -- Do you regularly suffer from: sleeping problems,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,078,ch07a078; ch08b078; ch09c078; ch10d078; ch11e078; ch12f078; ch13g078; ch15h078; ch16i078; ch17j078; ch18k078; ch19l078; ch20m078,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,other recurrent complaints -- AND --  other recurrent complaints -- AND -- Do you regularly suffer from: other recurrent complaints,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,079,ch07a079; ch08b079; ch09c079; ch10d079; ch11e079; ch12f079; ch13g079; ch15h079; ch16i079; ch17j079; ch18k079; ch19l079; ch20m079,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,no recurrent complaints -- AND --  no recurrent complaints -- AND -- Do you regularly suffer from: no recurrent complaints,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,080,ch07a080; ch08b080; ch09c080; ch10d080; ch11e080; ch12f080; ch13g080; ch15h080; ch16i080; ch17j080; ch18k080; ch19l080; ch20m080,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,"angina, pain in the chest -- AND --  angina, pain in the chest -- AND -- Has a physician told you this last year that you suffer from: angina, pain in the chest",2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,081,ch07a081; ch08b081; ch09c081; ch10d081; ch11e081; ch12f081; ch13g081; ch15h081; ch16i081; ch17j081; ch18k081; ch19l081; ch20m081,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,a heart attack including infarction or coronary thrombosis or another heart problem including heart failure -- AND --  a heart attack including infarction or coronary thrombosis or another heart problem including heart failure -- AND -- Has a physician told you this last year that you suffer from: a heart attack including infarction or coronary thrombosis or another heart problem including heart failure,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
Health,082,ch07a082; ch08b082; ch09c082; ch10d082; ch11e082; ch12f082; ch13g082; ch15h082; ch16i082; ch17j082; ch18k082; ch19l082; ch20m082,13,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020",3,high blood pressure or hypertension -- AND --  high blood pressure or hypertension -- AND -- Has a physician told you this last year that you suffer from: high blood pressure or hypertension,2,"c(no = 0, yes = 1) -- AND -- c(` no` = 0, ` yes` = 1)",1,categorical
